company,address,city,state,zip code,country,room count,phone number,email
Economy Inn,671 Northampton St,Holyoke,MA,01040,us,,(413) 536-3377,
Americas Best Value Inn,671 Northampton St,Holyoke,MA,01040,us,17,(413) 536-3377,
Holiday Inn Hotel Springfield-Holyoke,245 Whiting Farms Rd,Holyoke,MA,01040,us,,(413) 534-3311,
Holyoke Hotel,245 Whiting Farms Rd,Holyoke,MA,01040,us,,(413) 534-3311,
Shield Hotel Management,245 Whiting Farms Rd,Holyoke,MA,01040,us,,(413) 534-1770,
Bed & Bowl,90 County Rd,Huntington,MA,01050,us,,(413) 207-3020,
Roaring Mountain Bed & Breakfast,340 Long Plain Rd,Leverett,MA,01054,us,,(413) 548-9284,
Holiday Inn Express Ludlow,321 Center St,Ludlow,MA,01056,us,71,(888) 830-8589,help@ihg.com
Holiday Inn Express Ludlow - Chicopee Area,321 Center St,Ludlow,MA,01056,us,,(413) 589-9300,help@ihg.com
Lord Manor Bed & Breakfast,33 Green St,Monson,MA,01057,us,,(413) 267-5673,
Partridge Hollow Campground,72 Sutcliff Rd,Monson,MA,01057,us,,(413) 267-5122,
Clarion Hotel & Conference Center,1 Atwood Dr,Northampton,MA,01060,us,122,(413) 586-1211,ihelp@choicehotels.com
Quality Inn & Suites Northampton,117 Conz St,Northampton,MA,01060,us,88,(413) 586-1500,ihelp@choicehotels.com
Autumn Inn,259 Elm St,Northampton,MA,01060,us,32,(413) 584-7660,booking@hotels.com
Hotel Northampton,36 King St,Northampton,MA,01060,us,106,(413) 584-3100,cfoster@hotelnorthampton.com
North King Motel,504 N King St,Northampton,MA,01060,us,,(413) 584-8847,
The Hampshire Inn,82 Bridge St,Northampton,MA,01060,us,,(413) 586-6837,reservations@hampshireinn.com
Grove Street Inn,91 Grove St,Northampton,MA,01060,us,,(413) 586-6001,
Seemo Shuttle,68 Bradford St,Northampton,MA,01060,us,,(413) 586-1120,
Hampshire Hospitality Group,1 Atwood Dr,Northampton,MA,01060,us,,(413) 586-1211,
Penrose Victorian Inn,133 Main St,Northampton,MA,01060,us,,(413) 268-7711,
The Saltbox Bed and Breakfast,153 Elm St,Northampton,MA,01060,us,,(413) 584-1790,
Pioneer Valley Inn and Suites,117 Conz St,Northampton,MA,01060,us,,(413) 586-1500,
Pioneer Valley Balloons,160 Old Ferry Rd,Northampton,MA,01060,us,,(413) 586-3009,
Days Inn,117 Conz St,Northampton,MA,01060,us,,(413) 586-0190,
Strong Avenue Bed No Breakfast,28 Strong Ave,Northampton,MA,01060,us,,(413) 330-8222,
Mananto Enterprises,36 King St,Northampton,MA,01060,us,,(413) 584-3100,
Sugar Maple Trailside Inn,62 Chestnut St,Florence,MA,01062,us,,(413) 585-8559,info@sugar-maple-inn.com
Elks Lodge,17 Spring St,Florence,MA,01062,us,,(413) 584-0297,enf@elks.org
Starlightllama Solar B & B,940 Chesterfield Rd,Florence,MA,01062,us,,(413) 584-1703,
Sugar Maple Trailside Inn,62 Chestnut St,Northampton,MA,01062,us,,(413) 575-2277,
Knoll Bed & Breakfast,230 N Main St,Florence,MA,01062,us,,(413) 584-8164,theknoll2@comcast.net
Bed & Breakfast Accommodations,218 Turkey Hill Rd,Florence,MA,01062,us,,(413) 582-9888,reservations@bedandbreakfastdc.com
Penrose Victorian Inn,133 S Main St,Northampton,MA,01062,us,,(413) 268-7711,
Valley Inn,209 Locust St,Florence,MA,01062,us,,(413) 582-4282,
Lupine House,185 N Main St,Florence,MA,01062,us,,(413) 586-9766,
Pine Acres Family Camping Resort,203 Bechan Rd,Oakham,MA,01068,us,,(508) 882-9509,camp@pineacresresort.com
Evolve Waterfront Retreat,909 N Brookfield Rd,Oakham,MA,01068,us,,(508) 882-3739,
Wedgewood Motel,1430 Park St,Palmer,MA,01069,us,,(413) 283-4501,
Mohegan Sun Massachusetts,1426 Main St,Palmer,MA,01069,us,,(413) 289-0104,
Brookwood Bed and Breakfast,43 Old South St,Plainfield,MA,01070,us,,(413) 634-5665,info@brookwoodbnb.com
9 Mountain Retreats & Workshops,9 Mountain St,Plainfield,MA,01070,us,,(413) 634-0321,
Earthdance,252 Prospect St,Plainfield,MA,01070,us,,(413) 634-0140,
Andrew Lawrence,252 Prospect St,Plainfield,MA,01070,us,,(413) 634-0140,
Moses Scout Reservation,Birch Hill Rd,Russell,MA,01071,us,,(413) 568-0211,
Russell Inn,65 Westfield Rd,Russell,MA,01071,us,,(413) 862-3608,
Temenos,65 Mount Mineral Rd,Shutesbury,MA,01072,us,,(413) 367-9779,
Diantha's Garden Bed and Breakfast,20 Wolcott Rd,Southampton,MA,01073,us,,(413) 529-0093,
Farmstead Bed & Breakfast,210 Pomeroy Meadow Rd,Southampton,MA,01073,us,,(413) 527-3487,
Grandmary's Bed & Breakfast,11 Hadley St,South Hadley,MA,01075,us,,(413) 533-7381,grandmarys@hotmail.com
Daniel Stebbins House Bed & Breakfast,25 Woodbridge St,South Hadley,MA,01075,us,,(413) 533-2149,
Wingate by Wyndham,573 Granby Rd,South Hadley,MA,01075,us,,(413) 532-2200,
Mt Holyoke Af & Am Lodge,N Main,South Hadley,MA,01075,us,,(413) 533-5414,
Furnelli Ann,25 Woodbridge St,South Hadley,MA,01075,us,,(413) 533-2149,
American Inn,1 Saw Mill Park,Southwick,MA,01077,us,,(413) 569-1215,barbara@americaninn-sawmillpark.com
Susan's Sanctuary,68 Powder Mill Rd,Southwick,MA,01077,us,,(413) 569-1000,stdrapeau@comcast.net
Americinn,1 Saw Mill Park,Southwick,MA,01077,us,,(413) 569-6504,
Steven's Camp,80 Sheep Pasture Rd,Southwick,MA,01077,us,,(413) 569-0437,
Antique 1880 Inn Bed & Breakfast,14 Pleasant St,Ware,MA,01082,us,,(413) 967-7847,
Chesterfield Four Seasons Club,River Rd,West Chesterfield,MA,01084,us,,(413) 296-4048,
Holiday Inn Express & Suites Westfield,39 Southampton Rd,Westfield,MA,01085,us,86,(413) 564-6900,help@ihg.com
Econo Lodge Inn & Suites,2 Southampton Rd,Westfield,MA,01085,us,56,(413) 568-2821,ihelp@choicehotels.com
Elm Motel,50 Russell Rd,Westfield,MA,01085,us,17,(413) 562-9727,
Elks Lodge,56 Franklin St,Westfield,MA,01085,us,,(413) 562-5962,enf@elks.org
Quality Inn,2 Southampton Rd,Westfield,MA,01085,us,,(413) 568-2821,ihelp@choicehotels.com
Country Court Motel,480 Southampton Rd,Westfield,MA,01085,us,,(413) 562-9790,
Hotel Westfield,101 Meadow St,Westfield,MA,01085,us,,(413) 562-3797,
Sumi,50 Russell Rd,Westfield,MA,01085,us,,(413) 562-1173,
Choice Hotels International,18 Patterson St,Westfield,MA,01085,us,,(413) 427-5081,
Scottish Inns Hatfield,20 West St,West Hatfield,MA,01088,us,21,(413) 247-5601,
Candlewood Suites West Springfield,572 Riverdale St,West Springfield,MA,01089,us,71,(413) 739-1122,fouchlee87@yahoo.com
Clarion Hotel,1080 Riverdale St,West Springfield,MA,01089,us,262,(413) 781-8750,ihelp@choicehotels.com
Comfort Inn & Suites,106 Capital Dr,West Springfield,MA,01089,us,75,(413) 736-5000,ihelp@choicehotels.com
Hampton Inn West Springfield,1011 Riverdale St,West Springfield,MA,01089,us,125,(413) 732-1300,spfrd@aol.com
Red Roof Inn West Springfield,1254 Riverdale St,West Springfield,MA,01089,us,111,(413) 731-1010,pradeepb69@yahoo.com
Residence Inn West Springfield,64 Border Way,West Springfield,MA,01089,us,88,(413) 732-9543,riwestspringfield@pillarhotels.com
Quality Inn,1150 Riverdale St,West Springfield,MA,01089,us,114,(413) 739-7261,ihelp@choicehotels.com
Econo Lodge,1533 Elm St,West Springfield,MA,01089,us,65,(413) 734-8278,ihelp@choicehotels.com
Days Inn West Springfield,429 Riverdale St,West Springfield,MA,01089,us,55,(413) 785-5365,johnsmith@email.com
Travelodge West Springfield,437 Riverdale St,West Springfield,MA,01089,us,29,(413) 382-0291,johnsmith@email.com
Super 8 West Springfield/Route 5,1500 Riverdale St,West Springfield,MA,01089,us,62,(800) 536-0519,
Knights Inn West Springfield,1557 Riverdale St,West Springfield,MA,01089,us,51,(413) 737-9047,r.philip@knightsinn.com
Elsie's Motel,1032 Riverdale St,West Springfield,MA,01089,us,,(413) 734-2121,
Red Carpet Inn W Springfield,560 Riverdale St,West Springfield,MA,01089,us,38,(413) 733-6678,redcarpet560@comcast.net
Regency Inn Suites,21 Baldwin St,West Springfield,MA,01089,us,48,(413) 781-2300,info@regencyhospitality.com
Bel Air Motel,387 Riverdale St,West Springfield,MA,01089,us,,(413) 781-7825,
Welcome Inn,2041 Riverdale St,West Springfield,MA,01089,us,,(413) 736-5773,p-patel@supportproducts.com
Springfield Inn,1573 Riverdale St,West Springfield,MA,01089,us,,(413) 788-9607,springfield_inn@yahoo.com
Clarion Hotel & Aqua Lagoon Waterpark,1080 Riverdale St,West Springfield,MA,01089,us,,(413) 781-8750,ihelp@choicehotels.com
AAA Pioneer Valley,150 Capital Dr,West Springfield,MA,01089,us,,(800) 622-9211,webmaster@aaapv.com
Country Cape Bed & Breakfast,155 Haydenville Rd,Whately,MA,01093,us,,(413) 665-8523,nwilsonhctv@aol.com
Hillside House Bed & Breakfast,60 Masterson Rd,Whately,MA,01093,us,,(413) 665-5515,ej.berman@yahoo.com
Wilbraham Inn,2009 Boston Rd,Wilbraham,MA,01095,us,28,(413) 543-3787,wilbrahaminn@yahoo.com
Stony Brook Acres Day Camp,1004 Stony Hill Rd,Wilbraham,MA,01095,us,,(413) 596-4838,
Wingate by Wyndham,9 Maple St,Wilbraham,MA,01095,us,,(413) 596-2411,
Stony Hill Bed & Breakfast,900 Stony Hill Rd,Wilbraham,MA,01095,us,,(413) 596-8974,
Twin Maples Bed & Breakfast,106 South St,Williamsburg,MA,01096,us,,(413) 268-7925,
1886 House,202 East St,Williamsburg,MA,01096,us,,(413) 296-0223,
Nestle Inn,590 E Guinea Rd,Williamsburg,MA,01096,us,,(413) 268-8414,
The Blackburn Inn,144 Huntington Rd,Worthington,MA,01098,us,,(413) 238-0144,webmaster@theblackburninn.com
Hill Gallery Bed & Breakfast,137 E Windsor Rd,Worthington,MA,01098,us,,(413) 238-5914,
Worthington Inn-Four Corners,27 Old North Rd,Worthington,MA,01098,us,,(413) 238-4441,
Lil Red Country Inne,967 Huntington Rd,Worthington,MA,01098,us,,(413) 238-0121,
Ticketmaster,1277 Main St,Springfield,MA,01103,us,,(413) 733-2500,
Holiday Inn Express,145 State St,Springfield,MA,01103,us,,(413) 363-2547,
La Quinta Inn & Suites Springfield,100 Congress St,Springfield,MA,01104,us,208,(413) 781-0900,la6587gm@laquinta.com
Holiday Inn Springfield-Downtown,711 Dwight St,Springfield,MA,01104,us,,(413) 781-0900,
City Place Inn & Suites,711 Dwight St,Springfield,MA,01104,us,242,(413) 781-0900,
Innplace Hotel Springfield,711 Dwight St,Springfield,MA,01104,us,,(413) 781-0900,
Cinematime,711 Dwight St,Springfield,MA,01104,us,,(413) 739-0555,
Lanreb,17 Mooreland St,Springfield,MA,01104,us,,(413) 273-1599,
Hilton Garden Inn Springfield,800 W Columbus Ave,Springfield,MA,01105,us,143,(413) 886-8000,
Hilton Garden Inn Springfield,800 Hall Of Fame Ave,Springfield,MA,01105,us,143,(413) 886-8000,web.accessibility@hilton.com
Marriott,2 Blokland Dr,Springfield,MA,01106,us,,(413) 781-7111,
Naomi's Inn - Bed & Breakfast,20 Springfield St,Springfield,MA,01107,us,5,(413) 732-3924,naomisinn@hotmail.com
Naomi's Inn,20 Springfield St,Springfield,MA,01107,us,5,(413) 732-3924,marci@naomisinn.net
Lathrop House B&B,188 Sumner Ave,Springfield,MA,01108,us,3,(413) 736-6414,
Camp Angelina,300 Trafton Rd,Springfield,MA,01108,us,,(413) 750-2497,
Hill House Bed and Breakfast,418 Longhill St,Springfield,MA,01108,us,,,
Days Inn,1 Charter Ave,Springfield,MA,01109,us,,(413) 739-7311,
River Inn,700 State St,Springfield,MA,01109,us,,(413) 858-2660,
Wingate by Wyndham,215 Bicentennial Hwy,Springfield,MA,01118,us,,(413) 796-7511,
Hanna Manor,1118 Adams Rd,Framingham,MA,01118,us,,,
Howard Johnson Express - Springfield,1356 Boston Rd,Springfield,MA,01119,us,59,(413) 783-2111,
Seven Gables Motor Inn,1356 Boston Rd,Springfield,MA,01119,us,,(413) 783-6752,
Crowne Plaza Pittsfield-Berkshires,1 West St,Pittsfield,MA,01201,us,179,(413) 499-2000,c.gatzow@yahoo.com
Comfort Inn Pittsfield,1055 South St,Pittsfield,MA,01201,us,57,(413) 443-4714,ihelp@choicehotels.com
Berkshire Inn,150 W Housatonic St,Pittsfield,MA,01201,us,38,(413) 443-3000,akbp27@gmail.com
Bousquet Ski Area,101 Dan Fox Dr,Pittsfield,MA,01201,us,,(413) 442-8316,info@bousquets.com
White Horse Inn,378 South St,Pittsfield,MA,01201,us,8,(413) 442-2512,joseph@thewhitehorseinn.com
Quality Inn,16 Cheshire Rd,Pittsfield,MA,01201,us,45,(413) 443-5661,ihelp@choicehotels.com
Best Western Plus Berkshire Hills Inn & Suites,1350 W Housatonic St,Pittsfield,MA,01201,us,59,(413) 442-8714,jamiewinters@prestigehospitality.com
Travelodge Pittsfield Cheshire,16 Cheshire Rd,Pittsfield,MA,01201,us,,(413) 443-5661,
Heart of the Berkshires Motel,970 W Housatonic St,Pittsfield,MA,01201,us,17,(413) 443-1255,
Thaddeus Clapp House,74 Wendell Ave,Pittsfield,MA,01201,us,8,(413) 499-6840,info@clapphouse.com
Travelodge,16 Cheshire Rd,Pittsfield,MA,01201,us,,(413) 443-5661,
Bousquet Ski Area,1 Dan Fox Dr,Pittsfield,MA,01201,us,,(413) 442-8316,
Ramada,1350 W Housatonic St,Pittsfield,MA,01201,us,,(413) 442-8714,generalmanager13538@wynhg.com
Yankee Suites Extended Stay,20 W Housatonic St,Pittsfield,MA,01201,us,,(413) 629-2141,
Camp St Michael,5 Cascade St,Pittsfield,MA,01201,us,,(413) 442-0520,
Berkshire Sheep Farm Bed and Breakfast,399 Churchill St,Pittsfield,MA,01201,us,,(800) 362-8894,
Hollyhock House,1130 Barker Rd,Pittsfield,MA,01201,us,,(413) 443-6901,
Colonial Motor Lodge,509 Lebanon Ave,Pittsfield,MA,01201,us,,(413) 442-2633,
Oakwood Bed & Breakfast,31 Brunswick St,Pittsfield,MA,01201,us,,(413) 443-3233,
Memb Pittsfield Plaza,434 W Housatonic St,Pittsfield,MA,01201,us,,(413) 499-1914,
Topia Inn,10 Pleasant St,Adams,MA,01220,us,,(413) 743-9600,stay@topiainn.com
Mount Greylock Inn,6 East St,Adams,MA,01220,us,4,(413) 743-2665,sale@mountgreylockinn.com
Dug-Out Motel,99 Howland Ave,Adams,MA,01220,us,,(413) 743-9737,
Bucksteep Manor Inn,885 Washington Mountain Rd,Washington,MA,01223,us,,(413) 623-5535,bucksteepevents@gmail.com
Canterbury Farm Landscaping,1986 Fred Snow Rd,Becket,MA,01223,us,,(413) 623-0100,canterburyfarm@verizon.net
Berkshire Lakeside Lodge,3949 Jacobs Ladder Rd,Becket,MA,01223,us,,(413) 243-9907,info@berkshirelakesidelodge.co
Becket Motel,29 Chester Rd,Becket,MA,01223,us,,(413) 623-8888,bookings@basscoast.vic.gov.au
Southern Comfort Lodge,3949 Jacobs Ladder Rd,Becket,MA,01223,us,,(413) 243-9907,
Harbour House Bed & Breakfast,725 N State Rd,Cheshire,MA,01225,us,,(413) 743-8959,
Shamrock Village Inn,633 Main St,Dalton,MA,01226,us,,(413) 684-0860,feedback@smartertravel.com
Dalton House,955 Main St,Dalton,MA,01226,us,,(413) 684-3854,
Ski Butternut,380 State Rd,Great Barrington,MA,01230,us,,(413) 528-2000,
Lantern House Motel,256 Stockbridge Rd,Great Barrington,MA,01230,us,,(413) 528-2350,lanternhousemotel@gmail.com
Great Barrington MA Travelodge,400 Stockbridge Rd,Great Barrington,MA,01230,us,28,(413) 528-2340,
Days Inn Great Barrington,372 Main St,Great Barrington,MA,01230,us,61,(800) 903-0468,johnsmith@email.com
Monument Mountain Motel,247 Stockbridge Rd,Great Barrington,MA,01230,us,16,(413) 528-3272,westregion@ttor.org
Briarcliff Motor Lodge,506 Stockbridge Rd,Great Barrington,MA,01230,us,16,(413) 528-3000,hello@thebriarcliffmotel.com
Comfort Inn & Suites Great Barrington,249 Stockbridge Rd,Great Barrington,MA,01230,us,93,(413) 644-3200,sales@berkshirecomfortinn.com
